College,Degree,50s,60s,70s,80s,90s,2000s,2010s,2020s,AssignedGiftOfficer,Spouse,Email,Phone Number,NoAddress,FL,NJ,NY,US,Canada,Israel,International,EmployerName,JobTitle,DoNotEmail,DoNotMail,DoNotPhone,NoInvitations,NoSolicitations,NoPublications,LifetimeGiving,FY21,FY20,FY19,FY18,FY17,FY16,FY15,FY14,FY13,FY12,FY11,FY10,FY09,FY08,FY07,FY06,FY05,FY04,FY03,FY02
College for Men,Bachelor of Arts,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,30512949,665433,707550,888568,368716,199952,486206,1275850,583750,1900350,5950000,2000000,3444000,3275000,3535000,1225000,1335000,55000,575000,552000,500038
Business,Bachelor of Science,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12657906,1000000,1000000,1000150,700000,408600,372500,600000,1147500,1030000,1036000,1023000,736000,1186200,969880,245100,200000,0,18,18,0
College for Men,Bachelor of Arts,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,12559146,1314286,1314286,1097300,1100000,600000,604000,607500,627600,550000,643600,500000,402500,570000,225000,227500,230000,225000,250000,225000,1125
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,10504583,181539,210000,113529,458328,114000,273000,831125,1055000,711800,555000,655250,965250,793621,2247416,1065891,127500,113000,500,300,0
College for Women,Bachelor of Arts,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,8608955,250500,0,276100,162520,104300,260018,251800,1033423,1003600,1000000,600,1012500,20036,1078956,10608,1000,1108000,13720,6800,1000
College for Men,Bachelor of Arts,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6835863,125000,160000,270000,260000,295000,284550,240000,236800,325000,225000,236175,185000,129175,434345,31800,331000,150500,295500,255600,790900
College for Women,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6734570,500000,600000,600020,600000,461250,410450,410450,409761,460450,411139,410000,410450,350900,350000,25000,272000,15000,17500,10000,10000
Business,Bachelor of Science,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4672332,6800,150000,171390,150600,0,125000,0,154250,240720,1500,100000,450000,1000000,346700,100850,104300,123700,50600,49300,125250
College for Men,Bachelor of Arts,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4085717,0,0,0,0,2500,2800,1000,0,2000,20000,5000,25000,28180,11774,237800,247500,258550,248250,38350,219700
College for Men,Bachelor of Arts,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3887025,215000,160000,76000,50000,32500,45000,141600,203500,260000,1105000,327500,327500,335000,430000,65360,32500,16000,18500,10000,10350
