College,Degree,GradYear,AssignedGiftOfficer,Spouse,Email,PhoneNumber,NoAddress,FL,NJ,NY,US,Canada,Israel,International,EmployerName,JobTitle,DoNotEmail,DoNotMail,DoNotPhone,NoInvitations,NoSolicitations,NoPublications,TotalGiving,FY21,FY20,FY19,FY18,FY17
College for Men,Bachelor of Arts,1955,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Women,Bachelor of Arts,1955,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,205,180,0,0,0,25
College for Women,Bachelor of Arts,1955,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,205,180,0,0,0,25
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,36
College for Men,Bachelor of Arts,1955,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminary,Bachelor of Arts,1955,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Women,Bachelor of Arts,1955,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College for Men,Bachelor of Arts,1955,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
